"course_id"	"course_name"	"subject_bucket"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"question_count"	"active_question_count"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"832"	"6"	"Chapter 6: Prime Times (Prime Numbers)"	"1"	"6_prime_times_prime_numbers.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"833"	"7"	"Chapter 7: Perimeter and Area"	"1"	"7_perimeter_and_area.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"834"	"8"	"Chapter 8: Fractions"	"1"	"8_fractions.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"835"	"9"	"Chapter 9: Playing with Constructions"	"1"	"9_playing_with_constructions.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"836"	"10"	"Chapter 10: Symmetry"	"1"	"10_symmetry.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"837"	"11"	"Chapter 11: The Other Side of Zero (Integers)"	"1"	"11_the_other_side_of_zero_integers.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"1849"	"12"	"Miscellaneous Session"	"1"	"miscellaneous_session.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"934"	"1"	"Chapter 1: Rational Numbers"	"1"	"1_rational_numbers.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"935"	"2"	"Chapter 2: Exponents"	"1"	"2_exponents.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"936"	"3"	"Chapter 3: Squares and Square Roots"	"1"	"3_squares_and_square_roots.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"937"	"4"	"Chapter 4: Cubes and Cube Roots"	"1"	"4_cubes_and_cube_roots.pdf"	"0"	"0"
"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"MATH"	"938"	"5"	"Chapter 5: Playing with Numbers"	"1"	"5_playing_with_numbers.pdf"	"0"	"0"
